,nearest10hz,inletNumber,P,T,CH4,H2O,C2H6,R,C1C2,raw_CH4,raw_H2O,raw_C2H6,raw_R,raw_C1C2,batteryCharge,powerInput,current,SOC,Latitude,Longitude,Velocity,Bearing,wind_deviceID,windReference,avg_wind_x,avg_wind_y,avg_windSpeed,avg_windAngle,atmosphericPressure,airTemperature,jointime
1,1612294193.1,0.0,240.02,25.0063,2.11098,4466.49,27.9265,0.979685,0.186155,2.08486,4468.64,21.6652,0.9768370000000001,0.17769200000000002,12280.0,14693.0,628.0,84.0,40.59563289677408,-105.14431407649609,0.004938397814838479,5.030452429348996,35.0,250.0,-2.881822927189639,0.5291470649301024,2.93,2.96,8400.0,288.05,1612294193.1
2,1612294193.2,0.0,240.02,25.0063,2.11098,4466.49,27.9265,0.979685,0.186155,2.08486,4468.64,21.6652,0.9768370000000001,0.17769200000000002,12280.0,14693.0,628.0,84.0,40.59563289955186,-105.14431407371832,0.0023453355419967258,1.5707963267948966,35.0,250.0,-2.8700762369432957,0.5895442257654742,2.93,2.9389999999999996,8400.0,288.05,1612294193.2
3,1612294193.3,0.0,240.02,25.0063,2.11098,4466.49,27.9265,0.979685,0.186155,2.08486,4468.64,21.6652,0.9768370000000001,0.17769200000000002,12280.0,14693.0,628.0,84.0,40.59563289677408,-105.14431407094057,0.004779230737306102,2.893694289157239,35.0,250.0,-2.8061210833296224,0.6481392332616397,2.88,2.9146,8400.0,288.05,1612294193.3
4,1612294193.4,0.0,240.02,25.0063,2.11098,4466.49,27.9265,0.979685,0.186155,2.08486,4468.64,21.6652,0.9768370000000001,0.17769200000000002,12280.0,14693.0,628.0,84.0,40.59563289121851,-105.14431407094057,0.0019391335740418629,5.633749318230227,35.0,250.0,-2.670461904539411,0.7358894050084841,2.7699999999999996,2.8727,8400.0,288.05,1612294193.4
5,1612294193.5,0.0,240.02,25.0063,2.11098,4466.49,27.9265,0.979685,0.186155,2.08486,4468.64,21.6652,0.9768370000000001,0.17769200000000002,12280.0,14693.0,628.0,84.0,40.59563289955186,-105.14431407371832,0.004633136621466333,0.0,35.0,250.0,-2.5969083677924427,0.808991303593303,2.72,2.8396000000000003,8400.0,288.05,1612294193.5
6,1612294193.6,0.0,240.02,25.0063,2.11098,4466.49,27.9265,0.979685,0.186155,2.08486,4468.64,21.6652,0.9768370000000001,0.17769200000000002,12280.0,14693.0,628.0,84.0,40.59563289955186,-105.14431407094057,0.002808158015141754,4.1300728020244275,35.0,250.0,-2.5823541011376014,0.8543110067989367,2.7200000000000006,2.8221000000000003,8400.0,288.05,1612294193.6
7,1612294193.7,0.0,240.02,25.0063,2.11098,4466.49,27.9265,0.979685,0.186155,2.08486,4468.64,21.6652,0.9768370000000001,0.17769200000000002,12280.0,14693.0,628.0,84.0,40.59563289677408,-105.14431407927387,0.0015443757159673238,0.0,35.0,250.0,-2.560742303877652,0.917059896152578,2.72,2.7977000000000003,8400.0,288.05,1612294193.7
8,1612294193.8,0.0,240.02,25.0063,2.11098,4466.49,27.9265,0.979685,0.186155,2.08486,4468.64,21.6652,0.9768370000000001,0.17769200000000002,12280.0,14693.0,628.0,84.0,40.59563290232964,-105.14431407094057,0.004633123197465543,0.0,35.0,250.0,-2.6429921733800885,0.9833577026960213,2.8200000000000003,2.7854,8400.0,288.05,1612294193.8
9,1612294193.9,0.0,240.002,25.0103,2.1073,4470.44,27.0335,0.979196,0.186694,2.07582,4470.12,20.8218,0.9795809999999999,0.18064000000000002,12262.0,14676.0,618.0,84.0,40.595632905107415,-105.14431407927387,0.0035968570007325934,3.9260127074856763,35.0,250.0,-2.701029380060888,0.9994199758099162,2.88,2.7872000000000003,8400.0,288.05,1612294193.9
10,1612294194.0,0.0,240.002,25.0103,2.1073,4470.44,27.0335,0.979196,0.186694,2.07582,4470.12,20.8218,0.9795809999999999,0.18064000000000002,12262.0,14676.0,618.0,84.0,40.59563289775056,-105.14431407695926,0.005269626323330605,2.45939536307276,35.0,250.0,-2.778235633176224,1.077871405386518,2.9800000000000004,2.7715,8400.0,288.05,1612294194.1
